project_id,plot_id,x,y,Strata
3132,98,-477450,1324950,41
3132,99,-567690,1336770,71
3132,100,-505530,1216290,82
3132,101,-468300,1296390,43
3132,102,-608550,1333080,52
3132,103,-543360,1347000,22
3132,104,-596610,1310400,81
3132,105,-586080,1297320,81
3132,106,-476940,1258650,95
3132,107,-614880,1253430,52
3132,108,-480300,1236210,81
3132,109,-595800,1243470,52
3132,110,-583890,1294650,81
3132,111,-585150,1296060,81
3132,112,-535380,1330770,23
3132,113,-470460,1318710,41
3132,114,-491190,1215120,95
3132,115,-521130,1249770,23
3132,116,-522300,1347180,43
3132,117,-491580,1334970,43
3132,118,-499950,1238730,11
3132,119,-523050,1363440,24
3132,120,-477150,1320540,42
3132,121,-547140,1271730,11
3132,122,-469710,1297920,43
3132,123,-586800,1363500,23
3132,124,-519270,1364580,24
3132,125,-554580,1305060,81
3132,126,-615300,1258770,21
3132,127,-603030,1254840,52
3132,128,-521280,1258530,24
3132,129,-469530,1273440,22
3132,130,-560820,1356960,95
3132,131,-468900,1269570,42
3132,132,-469620,1297980,43
3132,133,-506220,1251990,22
3132,134,-493590,1313880,71
3132,135,-475290,1301400,31
3132,136,-467400,1254690,41
3132,137,-579300,1239000,21
3132,138,-478920,1300920,41
3132,139,-582990,1221390,52
3132,140,-467100,1293690,43
3132,141,-596190,1324080,81
3132,142,-535500,1361820,23
3132,143,-467880,1268250,90
3132,144,-487260,1254900,95
3132,145,-530190,1307730,23
3132,146,-508950,1313730,21
3132,147,-523980,1363410,22
3132,148,-521430,1255410,23
3132,149,-518190,1333950,43
3132,150,-495960,1290210,11
3132,151,-593970,1234740,82
3132,152,-605070,1260720,31
3132,153,-549660,1235070,82
3132,154,-602430,1337670,81
3132,155,-613260,1275600,82
3132,156,-486240,1260780,71
3132,157,-485730,1363710,23
3132,158,-495210,1338150,71
3132,159,-611910,1362270,82
3132,160,-480960,1312740,31
3132,161,-474030,1302720,90
3132,162,-486960,1340490,71
3132,163,-495930,1326060,90
3132,164,-581040,1362720,21
3132,165,-476220,1324200,43
3132,166,-540780,1273050,82
3132,167,-465750,1296420,31
3132,168,-485760,1267710,95
3132,169,-541200,1294650,95
3132,170,-603960,1325730,21
3132,171,-549240,1332540,71
3132,172,-502860,1220610,95
3132,173,-593550,1290150,11
3132,174,-551580,1356870,95
3132,175,-468420,1296720,31
3132,176,-467490,1295820,43
3132,177,-524880,1360500,23
3132,178,-554160,1292940,22
3132,179,-584430,1333290,21
3132,180,-465960,1313490,41
3132,181,-555120,1273410,23
3132,182,-491130,1323150,31
3132,183,-473850,1299240,52
3132,184,-533220,1245150,21
3132,185,-578160,1247160,52
3132,186,-487680,1312020,42
3132,187,-535230,1340040,23
3132,188,-466680,1310280,52
3132,189,-529110,1361910,23
3132,190,-466050,1263450,31
3132,191,-481290,1334940,95
3132,192,-598260,1311810,81
3132,193,-507120,1327800,90
3132,194,-592710,1215090,95
3132,195,-517860,1323330,11
3132,196,-509370,1337970,52
3132,197,-527610,1361490,22
3132,198,-558990,1348740,31
3132,199,-590010,1335900,82
3132,200,-486240,1331670,52
3132,201,-478110,1322070,52
3132,202,-469110,1304250,41
3132,203,-503250,1325100,90
3132,204,-466920,1330320,42
3132,205,-609780,1288350,81
3132,206,-591720,1308330,81
3132,207,-523080,1352010,22
3132,208,-501030,1264380,82
3132,209,-494250,1301130,11
3132,210,-481320,1313970,41
3132,211,-586650,1274430,11
3132,212,-557370,1312380,21
3132,213,-544680,1274040,21
3132,214,-523380,1254150,23
3132,215,-470400,1298310,43
3132,216,-586710,1293570,82
