,plot_id,x,y,project_id,Strata
86,431,-797370,1137690,3130,99
87,436,-251220,2824200,3130,99
88,441,433320,1341210,3130,99
89,446,222450,822120,3130,99
90,451,-1639590,1835100,3130,99
91,456,-501750,1739430,3130,99
92,461,204240,2743560,3130,99
93,466,-2098050,2429640,3130,99
94,471,-81900,1207200,3130,99
95,476,-1167990,2126370,3130,99
96,481,-559560,1947480,3130,99
97,486,-135690,1827780,3130,99
98,491,456300,1933410,3130,99
99,496,142620,900780,3130,99
100,501,-1402650,2509770,3130,99
101,506,-882570,1714860,3130,99
102,511,1766430,1846200,3130,99
103,516,-1403250,1292670,3130,99
104,521,-54600,718350,3130,99
105,526,-1836810,2281380,3130,99
106,531,-2164110,2173890,3130,99
107,536,986550,1626990,3130,99
108,541,575130,1457130,3130,99
109,546,-1336800,1569090,3130,99
110,551,-197010,800340,3130,99
111,556,-408090,752880,3130,99
112,561,-1439400,1567140,3130,99
113,566,1003170,2326890,3130,99
114,571,-1328730,1242120,3130,99
115,576,-182460,546180,3130,99
116,581,2103120,2659920,3130,99
117,586,-266910,1497810,3130,99
118,591,1463670,2222190,3130,99
119,596,-1916370,1787160,3130,99
120,601,1562040,469260,3130,99
121,606,-515100,877170,3130,99
122,611,-849210,2515710,3130,99
123,616,925770,2382510,3130,99
124,621,-1383000,2863290,3130,99
125,626,-1458480,2229300,3130,99
126,631,1595790,2013060,3130,99
127,636,210720,1078680,3130,99
128,641,171120,1989780,3130,99
129,646,-1464870,2334720,3130,99
130,651,-765390,840480,3130,99
131,656,-1790100,2476860,3130,99
132,661,-1655910,2656860,3130,99
133,666,1985160,2846100,3130,99
134,671,-965790,2387760,3130,99
135,676,-1056420,1784310,3130,99
136,681,-1705140,2580240,3130,99
137,686,1385430,2045040,3130,99
138,691,1735140,1959930,3130,99
139,696,-1496490,1855440,3130,99
140,701,481410,1457280,3130,99
141,706,-775890,1174530,3130,99
142,711,-344070,1961340,3130,99
143,716,1099380,2003430,3130,99
144,721,-947250,1860480,3130,99
145,726,-1151340,1830000,3130,99
146,731,1159680,1199760,3130,99
147,736,790350,1181070,3130,99
148,741,739260,840720,3130,99
149,746,-79080,637440,3130,99
150,751,-1667760,1256160,3130,99
151,756,1485330,1438710,3130,99
152,761,-469530,2854380,3130,99
153,766,-197760,2625660,3130,99
154,771,126480,1628280,3130,99
155,776,-1471020,2367570,3130,99
156,781,1485630,1546410,3130,99
157,786,-216930,2606880,3130,99
158,791,1383780,1009260,3130,99
159,796,-322290,2017560,3130,99
160,801,-1668870,1812990,3130,99
161,806,-244230,1927620,3130,99
162,811,1469070,1790700,3130,99
163,816,-975960,2094030,3130,99
164,821,1495620,1858410,3130,99
