plot_id,x,y,project_id,Strata
277,-2014050,1937370,1211,99
278,-183540,2178900,1211,99
279,-306060,2663700,1211,99
280,-410280,2033610,1211,99
281,1049340,2250570,1211,99
282,196620,2039160,1211,99
283,49590,740400,1211,99
284,-442860,2737800,1211,99
285,-63450,736800,1211,99
286,-1886010,2018610,1211,99
287,849810,1218750,1211,99
288,-1130370,2132670,1211,99
289,496950,2428440,1211,99
290,-1222770,1342470,1211,99
291,75810,988650,1211,99
292,-1171830,1399860,1211,99
293,50370,1702740,1211,99
294,1681020,1478520,1211,99
295,-339270,2842920,1211,99
296,-1377810,1239900,1211,99
297,576930,741030,1211,99
298,-1990860,1535250,1211,99
299,1200300,2156250,1211,99
300,1632570,2616150,1211,99
301,1582260,2294790,1211,99
302,-550560,1191030,1211,99
303,449250,1803210,1211,99
304,-970290,2355540,1211,99
305,-1024560,1181490,1211,99
306,148260,2705010,1211,99
307,-40710,1913790,1211,99
308,-246780,2035140,1211,99
309,-1640310,2170830,1211,99
310,-414030,1566570,1211,99
311,-253230,1752030,1211,99
312,1272270,2031360,1211,99
313,-1903560,1789650,1211,99
314,-1437420,2529840,1211,99
315,-146790,725460,1211,99
316,-2032410,2080590,1211,99
317,-317730,477000,1211,99
318,-1886010,2583690,1211,99
319,581700,2495880,1211,99
320,1218540,1741440,1211,99
321,-897750,1469760,1211,99
322,-605310,2106780,1211,99
323,202410,1513830,1211,99
324,-157710,555120,1211,99
325,-374160,1403970,1211,99
326,1953060,2553840,1211,99
327,-1542720,2887920,1211,99
328,1402680,842910,1211,99
329,-260100,1220520,1211,99
330,-597990,1937760,1211,99
331,-396000,1898850,1211,99
332,303090,2117910,1211,99
333,-1536510,2246820,1211,99
334,1291200,892590,1211,99
335,445560,2255070,1211,99
336,-1158330,2621580,1211,99
337,-83010,837390,1211,99
338,-167070,1587930,1211,99
339,-1872600,2902050,1211,99
340,1611870,1803810,1211,99
341,-1654170,2429400,1211,99
342,2038050,2323650,1211,99
343,1427130,586920,1211,99
344,1748100,1981650,1211,99
345,-251460,877470,1211,99
346,-2114850,1538610,1211,99
347,-1057170,1953030,1211,99
348,-634620,1154010,1211,99
349,585540,1455150,1211,99
350,-1080270,1804620,1211,99
351,128190,2535840,1211,99
352,-193620,662730,1211,99
353,1460130,1340310,1211,99
354,-487140,2193060,1211,99
355,-1473570,2164110,1211,99
356,491400,1993950,1211,99
357,-58680,2125320,1211,99
358,-665040,1818300,1211,99
359,-1529790,2240640,1211,99
360,-158070,871320,1211,99
361,183630,1050840,1211,99
362,1406610,1584450,1211,99
363,-2114760,1673880,1211,99
364,-300630,1516590,1211,99
365,-940680,2607570,1211,99
366,-369990,2117190,1211,99
367,1759710,2622900,1211,99
368,-705900,2106630,1211,99
369,572490,785580,1211,99
370,-1929090,1876680,1211,99
371,858300,2222820,1211,99
372,-683010,2640390,1211,99
373,-1110660,2954790,1211,99
374,-800490,2334360,1211,99
375,-425190,2019780,1211,99
376,-1784280,1285680,1211,99
377,-1379640,1190790,1211,99
378,1750740,1951380,1211,99
379,598050,2369310,1211,99
380,-1226970,2923710,1211,99
381,-532830,2805150,1211,99
382,-1673370,2260980,1211,99
383,1438560,1191690,1211,99
384,1740660,1577820,1211,99
385,-740160,2580240,1211,99
386,-1201920,2207970,1211,99
387,-32490,803970,1211,99
388,-1027680,2383770,1211,99
389,1606560,1883970,1211,99
390,-1289910,2199690,1211,99
391,-819330,1659990,1211,99
392,-304890,2812680,1211,99
393,281940,1487820,1211,99
394,634680,1518150,1211,99
395,-1830840,1395540,1211,99
396,1335180,2244780,1211,99
397,-1377060,1969620,1211,99
398,-1594170,1684440,1211,99
399,127560,1752030,1211,99
400,-642270,2297160,1211,99
401,904260,1131720,1211,99
402,-371130,1205790,1211,99
403,-1870770,2568600,1211,99
404,-1200090,1240290,1211,99
405,-296640,2097420,1211,99
406,1096290,1989060,1211,99
407,557460,760530,1211,99
408,1746330,2601810,1211,99
409,-2005740,1646310,1211,99
410,783900,1331430,1211,99
411,-1671690,2546910,1211,99
412,-1874040,1386960,1211,99
413,-636600,777960,1211,99
414,107700,1639170,1211,99
415,1134450,961710,1211,99
416,-1380090,1721190,1211,99
417,1491420,1702950,1211,99
418,1224030,1277610,1211,99
419,-1852020,2700690,1211,99
420,-1848450,2097210,1211,99
421,783900,1119330,1211,99
422,-629700,1231470,1211,99
423,-247290,1372260,1211,99
424,14910,1913130,1211,99
425,800100,2328900,1211,99
426,-1493580,1368270,1211,99
427,-1884570,1865130,1211,99
428,-928080,2611560,1211,99
429,-1185750,1695840,1211,99
430,-604560,1161210,1211,99
431,53610,1320810,1211,99
432,-443370,1655520,1211,99
433,-1728750,1950030,1211,99
434,-425010,2736570,1211,99
435,-1105770,2502300,1211,99
436,1049880,1425870,1211,99
437,-171780,504990,1211,99
438,1781850,2519520,1211,99
439,-553620,1676160,1211,99
440,-220530,2301090,1211,99
441,-83730,1466460,1211,99
442,-783600,2128920,1211,99
443,-1552560,2987100,1211,99
444,1430040,1254870,1211,99
445,-1558350,1614240,1211,99
446,-712890,2144580,1211,99
447,-1224330,2385990,1211,99
448,-1354500,1452810,1211,99
449,-1780200,1442580,1211,99
450,-1289370,1524990,1211,99
451,-1833630,1641330,1211,99
452,-225420,1554570,1211,99
453,-1464600,2486250,1211,99
454,-1674840,2821320,1211,99
455,1657050,2222430,1211,99
456,961140,1328220,1211,99
457,267180,2058090,1211,99
458,-862320,2916510,1211,99
459,-234990,414090,1211,99
460,-2092290,2612760,1211,99
461,1991700,2291160,1211,99
462,767520,1780650,1211,99
463,1173390,1641690,1211,99
464,-1011750,2100030,1211,99
465,-215970,1963920,1211,99
466,-337920,1206660,1211,99
467,898200,864330,1211,99
468,-548100,2093460,1211,99
469,-1261230,2578620,1211,99
470,-1024590,1717320,1211,99
471,-1707210,1808070,1211,99
472,-1155960,2152410,1211,99
473,1017660,1509870,1211,99
474,-1123560,1664010,1211,99
475,-1192080,1854300,1211,99
476,661740,699720,1211,99
477,-302850,1097580,1211,99
478,607950,894150,1211,99
479,-893460,1750380,1211,99
480,1027500,852690,1211,99
481,791790,2644560,1211,99
482,671280,2610510,1211,99
483,585810,758850,1211,99
484,1022220,1476180,1211,99
485,-1453140,2409450,1211,99
486,-149100,516180,1211,99
487,-1041900,1941750,1211,99
488,1079280,1524780,1211,99
489,467790,1086120,1211,99
490,-1021680,1943250,1211,99
491,-186990,2424030,1211,99
492,423180,2424420,1211,99
493,-1219200,2947140,1211,99
494,-1516170,2430720,1211,99
495,-1993830,2731590,1211,99
496,-2074380,2998890,1211,99
497,-987600,2812590,1211,99
498,1963920,2697360,1211,99
499,1040130,1811880,1211,99
500,551610,1137120,1211,99
501,1831110,2423580,1211,99
502,1056090,1969620,1211,99
503,-1129740,1661580,1211,99
504,-1442580,1230510,1211,99
505,-417960,1802760,1211,99
506,-136320,922650,1211,99
507,-1395540,1689720,1211,99
508,-2091000,2433390,1211,99
509,23580,2388900,1211,99
510,-1318410,1117110,1211,99
511,162390,856110,1211,99
512,-744690,2376330,1211,99
513,-1624440,2648610,1211,99
514,-1504410,2716020,1211,99
515,1525500,544800,1211,99
516,-1757730,2107560,1211,99
517,-7890,1717080,1211,99
518,428850,1715940,1211,99
519,1398420,1912800,1211,99
520,-53460,621390,1211,99
521,1993200,2538030,1211,99
522,1741440,2373720,1211,99
523,442410,1987740,1211,99
524,-1987380,3005610,1211,99
525,-973800,1016730,1211,99
526,-1810620,2406030,1211,99
527,-251160,933420,1211,99
528,-1467990,2749830,1211,99
529,-312540,1904010,1211,99
530,-1166610,2670690,1211,99
531,359970,1722990,1211,99
532,-986520,2043120,1211,99
533,-1276800,1588890,1211,99
534,-21180,1026510,1211,99
535,946650,1088190,1211,99
536,-1794390,2085840,1211,99
537,268440,2696490,1211,99
538,843870,1845930,1211,99
539,373230,1553100,1211,99
540,-1412070,1733670,1211,99
541,-1690230,1211610,1211,99
542,1781040,2308320,1211,99
543,-842400,1532070,1211,99
544,-1545900,1365240,1211,99
545,355650,1838970,1211,99
546,-510420,835110,1211,99
547,-473460,765960,1211,99
548,-1442340,1845570,1211,99
549,-2142240,2707530,1211,99
550,-976020,2849370,1211,99
551,55530,1820670,1211,99
552,-1140510,1074180,1211,99
553,1732200,2424750,1211,99
554,-579930,2092860,1211,99
555,1761960,2161050,1211,99
556,314580,2541390,1211,99
557,-592380,2144010,1211,99
558,-1201410,2646240,1211,99
559,1535490,1409550,1211,99
560,2024430,2728080,1211,99
561,-572880,1183290,1211,99
562,-1310400,2766570,1211,99
563,-1344660,2157390,1211,99
564,-948180,2751120,1211,99
565,-1500510,1459740,1211,99
566,-1601910,1877070,1211,99
567,1013040,1360830,1211,99
568,-647460,767820,1211,99
569,771900,1968660,1211,99
570,202830,2358780,1211,99
571,945600,2007060,1211,99
572,1378590,1645440,1211,99
573,-170760,1621230,1211,99
574,-1058880,2282310,1211,99
575,322080,876480,1211,99
576,-724380,2131560,1211,99
577,-511410,1014270,1211,99
578,1375290,871320,1211,99
579,-1576650,1294110,1211,99
580,167760,2280540,1211,99
581,310110,1875750,1211,99
582,280590,2755320,1211,99
583,186720,2235390,1211,99
584,-2013270,2689260,1211,99
585,-1346880,1350780,1211,99
586,-1913220,2340120,1211,99
587,-1533900,2209410,1211,99
588,-775110,1792410,1211,99
589,-700170,731040,1211,99
590,-1880310,1753620,1211,99
591,-1706580,2828970,1211,99
592,-730950,1804650,1211,99
593,967710,2228940,1211,99
594,-788940,2509710,1211,99
595,-313650,2454150,1211,99
596,2073900,2940180,1211,99
597,-1992570,2021970,1211,99
598,-188460,1733250,1211,99
599,-35430,2823690,1211,99
600,-1085430,2923380,1211,99
601,-740070,1058340,1211,99
602,-1455720,2495010,1211,99
603,-1246260,1180530,1211,99
604,-1770390,2551200,1211,99
605,839760,1936950,1211,99
606,584430,1950690,1211,99
607,-1825890,2198760,1211,99
608,2023140,2395920,1211,99
609,-343080,1984260,1211,99
610,-1893960,2444700,1211,99
611,1507710,1797270,1211,99
612,255120,802800,1211,99
613,-1092720,1797120,1211,99
614,-1436760,1917690,1211,99
615,-1833930,1393170,1211,99
616,-1383240,2368110,1211,99
617,882630,2365500,1211,99
618,256320,1731960,1211,99
619,-822090,2179560,1211,99
620,897690,1561350,1211,99
621,1305390,1574520,1211,99
622,-1077870,1977960,1211,99
623,1764000,2027880,1211,99
624,329970,2774640,1211,99
625,-604350,1010130,1211,99
626,-2150250,2533200,1211,99
627,-398820,1192920,1211,99
628,-1262730,2794170,1211,99
629,1316040,2035050,1211,99
630,1819860,2434710,1211,99
631,-1654230,2374560,1211,99
632,-550350,2157780,1211,99
633,-1373340,1629480,1211,99
634,1376130,2114400,1211,99
635,-328410,1681680,1211,99
636,-2025570,2927490,1211,99
637,1377030,1223430,1211,99
638,713790,1919190,1211,99
639,-1605690,2712360,1211,99
640,510720,2586390,1211,99
641,-1281840,2440800,1211,99
642,-102900,1430310,1211,99
643,433440,2566350,1211,99
644,-494640,2284350,1211,99
645,-821340,2687100,1211,99
646,139920,2732910,1211,99
647,757800,1998990,1211,99
648,260430,1104420,1211,99
649,119010,1437390,1211,99
650,446790,1143240,1211,99
651,-1739760,1712280,1211,99
652,-169770,2469090,1211,99
653,-1480410,1897350,1211,99
654,718500,1716900,1211,99
655,-1623270,1904220,1211,99
656,108900,876780,1211,99
657,-1081140,2812080,1211,99
658,1400850,1693020,1211,99
659,1515600,2278770,1211,99
660,-651660,1050090,1211,99
661,1430610,2165070,1211,99
662,1200840,1738170,1211,99
663,-1143630,1748190,1211,99
664,551940,1351710,1211,99
665,532440,1791960,1211,99
666,18600,665640,1211,99
667,835500,2227410,1211,99
668,212130,890340,1211,99
669,-1941060,3159060,1211,99
670,-1255110,1851870,1211,99
671,-2077230,2748240,1211,99
672,-1429650,1816800,1211,99
673,-1888110,2250630,1211,99
674,330330,1742430,1211,99
675,-2100990,1863810,1211,99
676,-95460,2073150,1211,99
677,-1375980,2698590,1211,99
678,-1240020,2053860,1211,99
679,244080,1349340,1211,99
680,-1052340,1538130,1211,99
681,991710,2011980,1211,99
682,-415320,2360490,1211,99
683,261390,1169100,1211,99
684,251880,1182000,1211,99
685,-2128710,1572270,1211,99
686,-462120,2630550,1211,99
687,85890,2037570,1211,99
688,-1828560,1484550,1211,99
689,688470,2049180,1211,99
690,1475220,1869390,1211,99
